siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
304688922,00026,30468892200026,O,2002-12-30,31,2019,,2021-10-27T08:15:18,false,A,O,,1976-01-01,5710,ISERE DISTRIBUTION,,,,,,,,,,,,,,47.11F,NAFRev2,,N,O,31,2019,00034,2021-10-27T08:15:18,ETI,2019,,,,,GAMEUX,38160,CHATTE,,,38095,,,,,,,,,,,,,,,,,,,A,,,,,47.11F,NAFRev2,O
308065499,00128,30806549900128,O,2018-10-02,,,,2019-02-08T03:43:35,false,A,O,,1976-01-01,5710,HUILERIE RICHARD,,,,,,,,,,,,,,10.41A,NAFRev2,,N,O,12,2019,00052,2021-10-27T08:16:22,PME,2019,,3,,RUE,DE STRASBOURG,38000,GRENOBLE,,,38185,,,,,,,,,,,,,,,,,,,A,,,,D'UN GOUT A L'AUTRE,47.11B,NAFRev2,O
308428234,00014,30842823400014,O,1976-01-01,01,2019,,2021-10-27T08:16:27,true,A,O,,1976-01-01,5499,SODIVAR LARRIVE FOURNIER,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,01,2019,00014,2021-10-27T08:16:27,PME,2019,LES MOLES,2,,RUE,DE L'ABBATIALE,38890,SAINT-CHEF,,,38374,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
310192679,00028,31019267900028,O,1996-12-17,NN,,,2011-10-18T19:48:09,true,A,O,,1996-12-17,1000,,,CASINO,,,M,ROCHAS,,RAYMOND,,,,RAYMOND,,47.11C,NAFRev2,,,N,NN,,00028,2017-05-20T01:56:04,PME,2019,SUPERETTE CASINO C 5677,,,RTE,DE LA POSTE,38750,HUEZ,,,38191,,,,,,,,,,,,,,,,,,,A,,,,,47.11C,NAFRev2,N
311274773,00531,31127477300531,O,2010-01-01,01,2019,,2021-10-27T08:17:33,false,A,O,,1900-01-01,5710,ARGEL SUD EST,,,,,,,,,,,,,,47.11A,NAFRev2,,N,O,32,2019,00044,2021-10-27T08:17:33,GE,2019,,,,RTE,DES TERNES,38490,CHIMILIN,,,38104,,,,,,,,,,,,,,,,,,,A,,,,,47.11A,NAFRev2,O
311589931,00014,31158993100014,O,1987-10-05,NN,,,2010-04-18T03:36:57,true,A,O,,1987-10-05,1000,,,GERANT DU CASINO,,,M,VIGNON,,MICHEL,,,,MICHEL,,47.11B,NAFRev2,,,N,NN,,00014,2017-05-20T01:59:22,PME,2019,,7,,RUE,GAL DE GAULLE,38520,LE BOURG D'OISANS,,,38052,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
312819196,00022,31281919600022,O,2006-09-29,NN,,,2019-11-14T14:00:36,true,A,O,,1900-01-01,1000,,,,,,M,BEDU,,JEAN,FRANCOIS,,,JEAN,,47.11C,NAFRev2,,,N,NN,,00022,2017-05-20T02:03:32,PME,2019,,,,,GRANDE RUE,38680,PONT-EN-ROYANS,,,38319,,,,,,,,,,,,,,,,,,,A,,,,,47.11C,NAFRev2,N
319253985,00018,31925398500018,O,1980-04-01,NN,,,2010-04-18T03:52:56,true,A,O,,1980-04-01,1000,,,SOLEIL DE CARTHAGE,,,F,M HENNI,MILED,KHADOUJA,,,,KHADOUJA,,47.11B,NAFRev2,,,N,NN,,00018,2017-05-20T02:22:43,PME,2019,,7,,RUE,RENAULDON,38000,GRENOBLE,,,38185,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
319301024,00075,31930102400075,O,2014-08-09,,,,2014-08-14T09:44:12,false,A,O,,2003-01-10,1000,,,,,,M,PIERRET,,MAX,ROBERT,,,MAX,,56.10C,NAFRev2,,,O,NN,,00067,2019-03-08T09:45:33,PME,2019,STAND 19 LES HALLES STE CLAIRE,,,PL,SAINTE CLAIRE,38000,GRENOBLE,,,38185,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
321022139,00018,32102213900018,O,1980-01-20,NN,,,2019-11-14T14:00:36,true,A,O,,1980-01-20,1000,,,,,,M,GIMBERT,,JEAN,LOUIS,,,JEAN,,47.11B,NAFRev2,,,O,NN,,00018,2017-05-20T02:29:43,PME,2019,,11,,RUE,DE SAINT ROBERT,38120,SAINT-EGREVE,,,38382,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
